Name,Price_Total,Price_PerGame
Paul Zipser,0,0
Jerryd Bayless,0,0
Tim Frazier,0,0
Terry Rozier,0,0
D.J. Wilson,0,0
Malik Monk,0,0
Nemanja Bjelica,0,0
Zach LaVine,0,15
Dorian Finney-Smith,0,0
Jarrett Allen,0,0
Shaun Livingston,0,0
Michael Carter-Williams,0,0
Luc Mbah a Moute,0,0
Raymond Felton,0,0
Justin Anderson,0,0
Emmanuel Mudiay,0,0
Dejounte Murray,0,0
Ben McLemore,0,0
Dragan Bender,0,0
Shelvin Mack,0,0
Luol Deng,0,0
Andrew Harrison,0,0
Domantas Sabonis,0,0
Lance Thomas,0,0
Tyler Ennis,0,0
Ramon Sessions,0,0
Michael Beasley,0,0
Mirza Teletovic,0,0
Jonas Jerebko,0,0
Ron Baker,0,0
Meyers Leonard,0,0
Sean Kilpatrick,0,0
Shabazz Napier,0,0
Iman Shumpert,0,0
John Henson,0,5
Deyonta Davis,0,0
Langston Galloway,0,0
Kenneth Faried,0,0
Omri Casspi,0,0
Spencer Dinwiddie,0,0
Bam Adebayo,0,0
Caleb Swanigan,0,0
Tomas Satoransky,0,0
Wayne Ellington,0,0
Al Jefferson,0,0
Troy Williams,0,0
TJ McConnell,0,0
Devin Harris,0,0
Doug McDermott,0,0
Wayne Selden,0,0
Mindaugas Kuzminskas,0,0
Amir Johnson,0,0
Anthony Tolliver,0,0
Malcolm Delaney,0,0
Timothe Luwawu-Cabarrot,0,0
Derrick Jones,0,0
Troy Daniels,0,0
Joffrey Lauvergne,0,0
Fred Vanvleet,0,0
Malik Beasley,0,0
Marreese Speights,0,0
Dante Exum,0,0
Jose Calderon,0,0
Jordan Bell,0,0
Arron Afflalo,0,0
Luke Kennard,0,0
Justin Jackson,0,0
Jabari Parker,0,10
Corey Brewer,0,0
Jodie Meeks,0,0
Tarik Black,0,1
Reggie Bullock,0,0
T.J. Leaf,0,0
Tony Parker,0,0
Miles Plumlee,0,0
Salah Mejri,0,0
Semi Ojeleye,0,0
Lucas Nogueira,0,0
Jared Dudley,0,0
Henry Ellenson,0,0
Rashad Vaughn,0,0
Jahlil Okafor,0,0
Nik Stauskas,0,0
OG Anunoby,0,0
Sterling Brown,0,0
Ed Davis,0,0
Quincy Acy,0,0
Wesley Johnson,0,0
Wade Baldwin,0,0
Jameer Nelson,0,0
Mario Hezonja,0,0
Georgios Papagiannis,0,0
Darrell Arthur,0,0
Rodney McGruder,0,0
Tony Bradley,0,0
Daniel Theis,0,0
Rade Zagorac,0,0
Luke Babbitt,0,0
Alec Burks,0,0
Jeff Green,0,0
Solomon Hill,0,0
Zach Collins,0,0
Kyle Kuzma,0,0
David Nwaba,0,0
Alexis Ajinca,0,0
Cameron Payne,0,0
Mike Scott,0,0
Malachi Richardson,0,0
Zhou Qi,0,0
Okaro White,0,0
DJ Augustin,0,0
Raul Neto,0,0
Cole Aldrich,0,0
Guerschon Yabusele,0,0
Quinn Cook,0,0
Josh McRoberts,0,0
Richard Jefferson,0,0
Pat Connaughton,0,0
Harry Giles,0,0
Derrick White,0,0
Ante Zizic,0,0
Chasson Randle,0,0
Josh Hart,0,0
Trey Lyles,0,0
Nicolas Brussino,0,0
Gary Payton II,0,0
Shane Larkin,0,0
Sindarius Thornwell,0,0
Maxi Kleber,0,0
DeAndre Liggins,0,0
Omer Asik,0,0
Damyean Dotson,0,0
Joseph Young,0,0
Jake Layman,0,0
Isaiah Whitehead,0,0
Daniel Ochefu,0,0
Furkan Korkmaz,0,0
Chris McCullough,0,0
Jordan Mickey,0,0
Frank Mason,0,0
Sheldon Mac,0,0
Thomas Bryant,0,0
Monte Morris,0,0
Bryn Forbes,0,0
Joel Bolomboy,0,0
Ike Anigbogu,0,0
Dillon Brooks,0,0
Kevon Looney,0,0
Wesley Iwundu,0,0
Khem Birch,0,0
Semaj Christon,0,0
Bruno Caboclo,0,0
Tyler Dorsey,0,0
Kyle Singler,0,0
Briante Weber,0,0
Tyler Lydon,0,0
Cedi Osman,0,0
Chinanu Onuaku,0,0
Josh Magette,0,0
Eric Moreland,0,0
Brice Johnson,0,0
Brandon Paul,0,0
Nick Collison,0,0
Treveon Graham,0,0
Julyan Stone,0,0
Jawun Evans,0,0
Terrance Ferguson,0,0
Kennedy Meeks,0,0
Davon Reed,0,0
Elijah Millsap,0,0
Peter Jok,0,0
Lorenzo Brown,0,0
Dwayne Bacon,0,0
Joe Harris,0,0
Damian Jones,0,0
Mike P James,0,0
Jalen Jones,0,0
Alex Caruso,0,0
Frank Jackson,0,0
Johnny O'Bryant,0,0
Yakuba Ouattara,0,0
Mangok Mathiang,0,0
Matt Costello,0,0
Kadeem Allen,0,0
Daniel Hamilton,0,0
Udonis Haslem,0,0
Alfonzo McKinnie,0,0
Abdel Nader,0,0
Derrick Walton,0,0
Alex Poythress,0,0
Luke Kornet,0,0
Torrey Craig,0,0
Marcus Georges-Hunt,0,0
Eric Griffin,0,0
Charles Cooke,0,0
Adreian Payne,0,0
Derek Willis,0,0
Jacob Wiley,0,0
Johnathan Motley,0,0
Jack Cooley,0,0
Justin Patton,0,0
Josh Huestis,0,0
Melo Trimble,0,0
Alec Peters,0,0
AJ Hammons,0,0
Marcus Paige,0,0
Edmond Sumner,0,0
Ryan Arcidiacono,0,0
Jalen Moore,0,0
CJ Wilcox,0,0
Devin Robinson,0,0
Quincy Pondexter,0,0
Anthony Brown,0,0
Jeremy Senglin,0,0
Jabari Bird,0,0
Malcolm Miller,0,0
Benny Moore,0,0
Antonio Blakeney,0,0
Damien Wilkins,0,0
Michael Young,0,0
P.J. Dozier,0,0
JaKarr Sampson,0,0
Demetrius Jackson,0,0
Jamil Wilson,0,0
Chris Boucher,0,0
Bronson Koenig,0,0
Bobby Brown,0,0
Kobi Simmons,0,0
Maalik Wayns,0,0
Milton Doyle,0,0
Nigel Hayes,0,0
Jeff Withey,0,0
Vlatko Cancar,0,0
Mathias Lessort,0,0
T.J. Williams,0,0
Jeremy Morgan,0,0
Matt Williams,0,0
Gian Clavell,0,0
Cameron Oliver,0,0
Kyle Wiltjer,0,0
Ognjen Jaramaz,0,0
Ivan Rabb,0,0
Nigel Williams-Goss,0,0
Jonah Bolden,0,0
Aleksandar Vezenkov,0,0
Kay Felder,0,0
Dakari Johnson,0,0
Alpha Kaba,0,0
Jarell Martin,0,0
Jamel Artis,0,0
Landry Nnoko,0,0
Jaron Blossomgame,0,0
Isaiah Hartenstein,0,0
Tim Quarterman,0,0
L.J. Peak,0,0
Brandon Knight,0,0
Andrew White,0,0
Ty Wallace,0,0
Anzejs Pasecniks,0,0
Xavier Rathan-Mayes,0,0
Vander Blue,0,0
KJ McDaniels,0,0
Rodney Purvis,0,0
Marshall Plumlee,0,0
Stephen Zimmerman,0,0
Georges Niang,0,0
V.J. Beachem,0,0
Antonius Cleveland,0,0
London Perrantes,0,0
Shawn Long,0,0
Dwight Buycks,0,0
LaDontae Henton,0,0
George De Paula,0,0
Donald Sloan,0,0
Royce ONeale,0,0
Mario Chalmers,0,0
James McAdoo,0,0
Isaiah Hicks,0,0
Walter Tavares,0,0
Brandon Ashley,0,0
Jequan Lewis,0,0
Tyler Cavanaugh,0,0
Luis Montero,0,0
Isaiah Taylor,0,0
